signal_date,active_variant,selected_count,eod_count,v2_count,human_count,eod_only_count,all_eod_only_day,source_freshness,fallback_blocked_operational,latest20_all_eod_only_day_rate_pct
2026-04-16,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2026-04-17,V3_C_RISK_CONTROL,3,1,0,2,1,False,PASS,False,0.0
2026-04-20,V3_C_RISK_CONTROL,3,0,2,2,0,False,PASS,False,0.0
2026-04-21,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2026-04-22,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2026-04-23,V3_C_RISK_CONTROL,3,1,3,2,0,False,PASS,False,0.0
2026-04-24,V3_C_RISK_CONTROL,3,2,2,1,0,False,PASS,False,0.0
2026-04-27,V3_C_RISK_CONTROL,3,2,1,1,1,False,PASS,False,0.0
2026-04-28,V3_C_RISK_CONTROL,3,1,1,1,1,False,PASS,False,0.0
2026-04-29,V3_C_RISK_CONTROL,3,1,0,3,0,False,PASS,False,0.0
2026-04-30,V3_C_RISK_CONTROL,3,2,2,2,0,False,PASS,False,0.0
2026-05-04,V3_C_RISK_CONTROL,3,2,2,1,0,False,PASS,False,0.0
2026-05-06,V3_C_RISK_CONTROL,3,1,2,0,1,False,PASS,False,0.0
2026-05-07,V3_C_RISK_CONTROL,3,0,1,2,0,False,PASS,False,0.0
2026-05-08,V3_C_RISK_CONTROL,3,1,2,1,1,False,PASS,False,0.0
2026-05-11,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2026-05-12,V3_C_RISK_CONTROL,3,1,2,3,0,False,PASS,False,0.0
2026-05-13,V3_C_RISK_CONTROL,3,0,1,3,0,False,PASS,False,0.0
2026-05-14,V3_C_RISK_CONTROL,3,0,1,3,0,False,PASS,False,0.0
2026-05-15,V3_C_RISK_CONTROL,3,0,1,3,0,False,PASS,False,0.0
2026-05-18,V3_C_RISK_CONTROL,3,0,1,2,0,False,PASS,False,0.0
2026-05-19,V3_C_RISK_CONTROL,3,0,1,2,0,False,PASS,False,0.0
2026-05-20,V3_C_RISK_CONTROL,3,0,1,3,0,False,PASS,False,0.0
2026-05-21,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2026-05-22,V3_C_RISK_CONTROL,3,0,1,2,0,False,PASS,False,0.0
2026-05-26,V3_C_RISK_CONTROL,3,0,2,1,0,False,PASS,False,0.0
2026-05-27,V3_C_RISK_CONTROL,3,0,1,3,0,False,PASS,False,0.0
2026-05-28,V3_C_RISK_CONTROL,3,1,0,3,0,False,PASS,False,0.0
2026-05-29,V3_C_RISK_CONTROL,3,0,1,3,0,False,PASS,False,0.0
